query,company_name,company_link,phone,website,address,categories
restaurant,"Hotel Churfirsten, Walenstadt - Tel. +41 (0)81 736 44 44",https://search.chhttps://search.ch/tel/walenstadt/bahnhofstrasse-41/restaurant-hotel-churfirsten,,,,"Restaurant, Walenstadt"
restaurant,Restaurant Sternen,https://search.chhttps://search.ch/tel/oberbuetschel/bernstrasse-31/restaurant-sternen,,,,"Restaurant, Oberbütschel"
restaurant,Osteria da Francesco Cipolla,https://search.chhttps://search.ch/tel/thalwil/bahnhofstrasse-29/osteria-da-francesco-cipolla,,,,"Restaurant, Thalwil"
restaurant,Restaurant & Bar Puccini Tel. +41 31 812 02 02,https://search.chhttps://search.ch/tel/belp/bahnhofstrasse-11/restaurant-bar-puccini-3,,,,"Restaurant, Belp"
restaurant,Restaurant le Borsalino,https://search.chhttps://search.ch/tel/haute-nendaz/route-de-la-telecabine-2/restaurant-le-borsalino,,,,"Restaurant, Haute-Nendaz"
restaurant,Brasserie la Glacière,https://search.chhttps://search.ch/tel/sion/avenue-ritz-35/brasserie-la-glaciere-2,,,,"Restaurant, Sion"
restaurant,La Dent-du-Midi,https://search.chhttps://search.ch/tel/st-maurice/avenue-du-simplon-1/hotel-restaurant-de-la-dent-du-midi,,,,"Restaurant, St-Maurice"
restaurant,Restaurant Iles Falcon,https://search.chhttps://search.ch/tel/sierre/rue-de-lile-falcon-10/restaurant-iles-falcon,,,,"Restaurant, Sierre"
restaurant,Milk-Bar,https://search.chhttps://search.ch/tel/verbier/rue-de-medran-2/milk-bar,,,,"Restaurant, Verbier"
restaurant,Restaurant Löwen,https://search.chhttps://search.ch/tel/walenstadt/seestrasse-20/restaurant-loewen-2,,,,"Restaurant, Walenstadt"
restaurant,Café des Vergers Sàrl,https://search.chhttps://search.ch/tel/saxon/rue-de-gottefrey-15/cafe-des-vergers-sarl,,,,"Restaurant, Saxon"
restaurant,La Nonna Martigny SARL,https://search.chhttps://search.ch/tel/martigny/place-centrale-5/la-nonna-martigny-sarl-2,,,,"Restaurant, Martigny"
restaurant,Pizzeria de la Poste,https://search.chhttps://search.ch/tel/sion/avenue-de-france-8/pizzeria-de-la-poste,,,,"Restaurant, Sion"
restaurant,Eder's Eichmühle GmbH,https://search.chhttps://search.ch/tel/waedenswil/eichmueli-2/eders-eichmuehle-gmbh,,,,"Restaurant, Wädenswil"
restaurant,Pompeii Restaurant-pizzeria,https://search.chhttps://search.ch/tel/vernayaz/la-verrerie-80/pompeii-restaurant-pizzeria,,,,"Restaurant, Vernayaz"
restaurant,Restaurant Le Borsalino,https://search.chhttps://search.ch/tel/verbier/route-des-creux-3/restaurant-le-borsalino,,,,"Restaurant, Verbier"
restaurant,Restaurant Sopra,https://search.chhttps://search.ch/tel/attelwil/hauptstrasse-56/restaurant-sopra,,,,"Restaurant, Attelwil"
restaurant,Ritz Lounge Bar,https://search.chhttps://search.ch/tel/sion/avenue-ritz-31/ritz-lounge-bar,,,,"Restaurant, Sion"
restaurant,Les Trois Couronnes,https://search.chhttps://search.ch/tel/martigny/place-du-bourg-8/les-trois-couronnes,,,,"Restaurant, Martigny"
restaurant,Bahnhöfli,https://search.chhttps://search.ch/tel/therwil/bahnhofstrasse-21/bahnhoefli,,,,"Restaurant, Therwil"
restaurant,Restaurant des Iles,https://search.chhttps://search.ch/tel/sion/promenade-des-berges-21/restaurant-des-iles,,,,"Restaurant, Sion"
restaurant,Grotto,https://search.chhttps://search.ch/tel/martigny/rue-du-rhone-3/grotto,,,,"Restaurant, Martigny"
restaurant,Hotel Restaurant Schäfli Tel. +41 55 440 84 36,https://search.chhttps://search.ch/tel/siebnen/glarnerstrasse-59/restaurant-hotel-schaefli,,,,"Restaurant, Siebnen"
restaurant,Pizzeria Restaurant Il mio Quattro,https://search.chhttps://search.ch/tel/oberrieden/doerflistrasse-4b/pizzeria-restaurant-il-mio-quattro,,,,"Restaurant, Oberrieden"
restaurant,"Restaurant, Pizzeria Sternen",https://search.chhttps://search.ch/tel/schmiedrued/heggelenstrasse-643/sternen,,,,"Restaurant, Schmiedrued"
restaurant,Arlequin Lounge Bar Sàrl,https://search.chhttps://search.ch/tel/sion/rue-des-cedres-10/arlequin-bar-resto-2,,,,"Restaurant, Sion"
restaurant,Steak House chez Steve et Arnaud,https://search.chhttps://search.ch/tel/martigny/place-centrale-10/steak-house-chez-steve-et-arnaud,,,,"Restaurant, Martigny"
restaurant,Le trait d'union,https://search.chhttps://search.ch/tel/sion/rue-de-lausanne-45/le-trait-dunion,,,,"Restaurant, Sion"
